company,rank,revenue,sector,city,state
Boyd Gaming,916,2178.5,"Hotels, Restaurants & Leisure",Las Vegas,NV
Crane Holdings,757,2936.9,Industrials,Stamford,CT
Selective Insurance Group,761,2922.3,Financials,Branchville,NJ
Public Storage,762,2915.1,Financials,Glendale,CA
Atmos Energy,778,2821.1,Energy,Dallas,TX
Cabot,813,2614,Chemicals,Boston,MA
Navient,644,3728,Financials,Wilmington,DE
Brown-Forman,689,3363,"Food, Beverages & Tobacco",Louisville,KY
Option Care Health,744,3032.6,Health Care,Bannockburn,IL
Floor & Decor Holdings,856,2425.8,Retailing,Atlanta,GA
Acuity Brands,696,3326.3,Industrials,Atlanta,GA
Akamai Technologies,711,3198.1,Technology,Cambridge,MA
SiteOne Landscape Supply,802,2704.5,Wholesalers,Roswell,GA
Texas Roadhouse,860,2398.1,"Hotels, Restaurants & Leisure",Louisville,KY
Primoris Services,673,3491.5,Engineering & Construction,Dallas,TX
Cboe Global Markets,679,3427.1,Financials,Chicago,IL
Carter's,745,3024.3,Apparel,Atlanta,GA
TopBuild,795,2718,Engineering & Construction,Daytona Beach,FL
Granite Construction,663,3562.5,Engineering & Construction,Watsonville,CA
Medical Mutual of Ohio,667,3524.2,Financials,Cleveland,OH
Valmont Industries,766,2895.4,Materials,Omaha,NE
Sprague Resources,886,2336,Energy,Portsmouth,NH
Flowserve,643,3728.1,Industrials,Irving,TX
Super Micro Computer,693,3339.3,Technology,San Jose,CA
Charles River Laboratories International,760,2923.9,Health Care,Wilmington,MA
A.O. Smith,767,2895.3,Industrials,Milwaukee,WI
Ciena,666,3532.2,Technology,Hanover,MD
PriceSmart,694,3329.2,Retailing,San Diego,CA
Advantage Solutions,718,3155.7,Business Services,Irvine,CA
iHeartMedia,753,2948.2,Media,San Antonio,TX
H&R Block,811,2639.7,Financials,Kansas City,MO
Parsons,625,3918.9,Aerospace & Defense,Centreville,VA
Trimble,720,3147.7,Technology,Sunnyvale,CA
Garrett Motion,743,3034,Motor Vehicles & Parts,Plymouth,MI
Winnebago Industries,877,2355.5,Motor Vehicles & Parts,Forest City,IA
OGE Energy,933,2122.3,Energy,Oklahoma City,OK
Lamb Weston Holdings,635,3792.4,"Food, Beverages & Tobacco",Eagle,ID
Pitney Bowes,664,3554.1,Technology,Stamford,CT
Alliant Energy,680,3416,Energy,Madison,WI
Southwest Gas Holdings,698,3298.9,Energy,Las Vegas,NV
Resolute Forest Products,783,2800,Materials,Calhoun,TN
Abercrombie & Fitch,724,3125.4,Retailing,New Albany,OH
Teradyne,726,3121.5,Technology,North Reading,MA
Mettler-Toledo International,734,3085.2,Technology,Columbus,OH
American Equity Investment Life Holding,857,2424.6,Financials,West Des Moines,IA
M/I Homes,741,3046.1,Engineering & Construction,Columbus,OH
RH,777,2848.6,Retailing,Corte Madera,CA
EPAM Systems,808,2659.5,Technology,Newtown,PA
Generac Holdings,845,2485.2,Industrials,Waukesha,WI
Pinnacle West Capital,657,3587,Energy,Phoenix,AZ
Mueller Industries,861,2398,Industrials,Collierville,TN
Wynn Resorts,940,2095.9,"Hotels, Restaurants & Leisure",Las Vegas,NV
Ventas,634,3795.4,Financials,Chicago,IL
Puget Energy,695,3326.5,Energy,Bellevue,WA
GoDaddy,697,3316.7,Technology,Scottsdale,AZ
Clean Harbors,721,3144.1,Business Services,Norwell,MA
Regal Rexnord,763,2907,Industrials,Beloit,WI
Sally Beauty Holdings,668,3514.3,Retailing,Denton,TX
Terex,735,3082.4,Industrials,Norwalk,CT
Enovis,737,3070.8,Industrials,Annapolis Junction,MD
IAC,740,3047.7,Technology,New York,NY
Meritor,742,3044,Motor Vehicles & Parts,Troy,MI
Diebold Nixdorf,628,3902.3,Technology,North Canton,OH
American Water Works,640,3777,Energy,Camden,NJ
Marriott Vacations Worldwide,769,2886,"Hotels, Restaurants & Leisure",Orlando,FL
Matson,866,2383.3,Transportation,Honolulu,HI
APi Group,656,3587,Engineering & Construction,New Brighton,MN
loanDepot,583,4443.6,Financials,Foothill Ranch,CA
Align Technology,850,2471.9,Health Care,Tempe,AZ
Mercury General,638,3784.5,Financials,Los Angeles,CA
Spirit AeroSystems Holdings,684,3404.8,Aerospace & Defense,Wichita,KS
Toro,687,3378.8,Industrials,Bloomington,MN
Tri Pointe Homes,700,3260.4,Engineering & Construction,Incline Village,NV
ArcBest,755,2940.2,Transportation,Fort Smith,AR
AMN Healthcare Services,862,2393.7,Health Care,Dallas,TX
Qorvo,705,3239.1,Technology,Greensboro,NC
Catalent,728,3094.3,Health Care,Somerset,NJ
Country Financial,854,2429.3,Financials,Bloomington,IL
Paychex,617,4040.5,Business Services,Rochester,NY
Atlas Air Worldwide Holdings,708,3211.1,Transportation,Purchase,NY
Zoom Video Communications,810,2651.4,Technology,San Jose,CA
Snap,839,2506.6,Technology,Santa Monica,CA
Patrick Industries,844,2486.6,Materials,Elkhart,IN
Domtar,553,4647,Materials,Fort Mill,SC
