0,1,2,3,4,5
"{'key': 'rank', 'value': '345'}","{'key': 'revenues', 'value': '7265.60'}","{'key': 'industry', 'value': 'Wholesalers: Diversified'}","{'key': 'hqCity', 'value': 'Los Angeles'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Reliance Steel &amp; Aluminum Co.'}"
"{'key': 'rank', 'value': '347'}","{'key': 'revenues', 'value': '7225.30'}","{'key': 'industry', 'value': 'Food and Drug Stores'}","{'key': 'hqCity', 'value': 'Jacksonville'}","{'key': 'hqState', 'value': 'FL'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Winn-Dixie Stores, Inc.'}"
"{'key': 'rank', 'value': '348'}","{'key': 'revenues', 'value': '7094.00'}","{'key': 'industry', 'value': 'Specialty Retailers'}","{'key': 'hqCity', 'value': 'Grapevine'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'GameStop Corp.'}"
"{'key': 'rank', 'value': '350'}","{'key': 'revenues', 'value': '7004.10'}","{'key': 'industry', 'value': 'Wholesalers: Electronics and Office Equipment'}","{'key': 'hqCity', 'value': 'Fremont'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Synnex Corp.'}"
"{'key': 'rank', 'value': '339'}","{'key': 'revenues', 'value': '7363.50'}","{'key': 'industry', 'value': 'Entertainment'}","{'key': 'hqCity', 'value': 'San Antonio'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Clear Channel Communications, Inc.'}"
"{'key': 'rank', 'value': '340'}","{'key': 'revenues', 'value': '7328.40'}","{'key': 'industry', 'value': 'Homebuilders'}","{'key': 'hqCity', 'value': 'Los Angeles'}","{'key': 'hqState', 'value': 'CA'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'KB Home'}"
"{'key': 'rank', 'value': '341'}","{'key': 'revenues', 'value': '7316.20'}","{'key': 'industry', 'value': 'Transportation and Logistics'}","{'key': 'hqCity', 'value': 'Eden Prairie'}","{'key': 'hqState', 'value': 'MN'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'C. H. Robinson Worldwide, Inc.'}"
"{'key': 'rank', 'value': '342'}","{'key': 'revenues', 'value': '7305.00'}","{'key': 'industry', 'value': 'Petroleum Refining'}","{'key': 'hqCity', 'value': 'El Paso'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Western Refining, Inc.'}"
"{'key': 'rank', 'value': '343'}","{'key': 'revenues', 'value': '7282.60'}","{'key': 'industry', 'value': 'Pipelines'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Enbridge Energy Partners, L.P.'}"
"{'key': 'rank', 'value': '344'}","{'key': 'revenues', 'value': '7269.70'}","{'key': 'industry', 'value': 'Pipelines'}","{'key': 'hqCity', 'value': 'Houston'}","{'key': 'hqState', 'value': 'TX'}","{'fieldMeta': {'title': 'Company', 'type': 'Text', 'importField': 'title', 'order': 'desc'}, 'key': 'title', 'value': 'Targa Resources, Inc.'}"
