company,rank,revenue,sector,city,state
Fiserv,512,5066,Business Services,Brookfield,WI
Hanover Insurance Group,511,5068,Financials,Worcester,MA
YRC Worldwide,510,5069,Transportation,Overland Park,KS
Sprague Resources,509,5070,Wholesalers,Portsmouth,NH
Airgas,508,5073,Wholesalers,Radnor,PA
Rockwell Collins,507,5073,Aerospace & Defense,Cedar Rapids,IA
Leidos Holdings,506,5092,Technology,Reston,VA
Noble Energy,505,5101,Energy,Houston,TX
Markel,504,5134,Financials,Glen Allen,VA
Hexion,503,5137,Chemicals,Columbus,OH
Northern Tier Energy,502,5160,Energy,Tempe,AZ
Big Lots,501,5177,Retailing,Columbus,OH
McGraw Hill Financial,500,5190,Business Services,New York,NY
Alleghany,499,5232,Financials,New York,NY
Owens Corning,498,5276,Materials,Toledo,OH
Wyndham Worldwide,497,5281,"Hotels, Resturants & Leisure",Parsippany,NJ
Pioneer Natural Resources,496,5293,Energy,Irving,TX
LifePoint Health,495,5301,Health Care,Brentwood,TN
