company,rank,revenue,sector,city,state
Winnebago Industries,737,3629.8,Motor Vehicles & Parts,Eden Prairie,MN
Southwest Gas Holdings,728,3680.5,Energy,Las Vegas,NV
Pitney Bowes,729,3673.6,Technology,Stamford,CT
Lamb Weston Holdings,730,3670.9,"Food, Beverages & Tobacco",Eagle,ID
Alliant Energy,731,3669,Energy,Madison,WI
Resolute Forest Products,732,3664,Materials,Calhoun,TN
Mettler-Toledo International,724,3717.9,Technology,Columbus,OH
Abercrombie & Fitch,725,3712.8,Retailing,New Albany,OH
Teradyne,726,3702.9,Technology,North Reading,MA
American Equity Investment Life Holding,727,3689.5,Financials,West Des Moines,IA
RH,720,3758.8,Retailing,Corte Madera,CA
EPAM Systems,721,3758.1,Technology,Newtown,PA
M/I Homes,722,3745.9,Engineering & Construction,Columbus,OH
Generac Holdings,723,3737.2,Industrials,Waukesha,WI
Pinnacle West Capital,716,3803.8,Energy,Phoenix,AZ
Mueller Industries,718,3769.3,Industrials,Collierville,TN
Wynn Resorts,719,3763.7,"Hotels, Restaurants & Leisure",Las Vegas,NV
Ventas,711,3828,Financials,Chicago,IL
GoDaddy,712,3815.7,Technology,Tempe,AZ
Regal Rexnord,713,3810.3,Industrials,Beloit,WI
Puget Energy,714,3805.7,Energy,Bellevue,WA
Clean Harbors,715,3805.6,Business Services,Norwell,MA
Terex,706,3886.8,Industrials,Norwalk,CT
Sally Beauty Holdings,707,3875,Retailing,Denton,TX
Enovis,708,3854.3,Industrials,Wilmington,DE
IAC,709,3845.1,Technology,New York,NY
Meritor,710,3833,Motor Vehicles & Parts,Troy,MI
American Water Works,702,3930,Energy,Camden,NJ
Matson,703,3925.3,Transportation,Honolulu,HI
Diebold Nixdorf,704,3905.2,Technology,Hudson,OH
Marriott Vacations Worldwide,705,3890,"Hotels, Restaurants & Leisure",Orlando,FL
APi Group,701,3940,Engineering & Construction,New Brighton,MN
Align Technology,699,3952.6,Health Care,Tempe,AZ
loanDepot,700,3943.2,Financials,Foothill Ranch,CA
Mercury General,693,3993.4,Financials,Los Angeles,CA
AMN Healthcare Services,694,3984.2,Health Care,Dallas,TX
Tri Pointe Homes,695,3982.2,Engineering & Construction,Incline Village,NV
ArcBest,696,3980.1,Transportation,Fort Smith,AR
Toro,697,3959.6,Industrials,Bloomington,MN
Spirit AeroSystems Holdings,698,3953,Aerospace & Defense,Wichita,KS
Peloton Interactive,689,4021.8,"Hotels, Restaurants & Leisure",New York,NY
Country Financial,690,4016.2,Financials,Bloomington,IL
Qorvo,691,4015.3,Technology,Greensboro,NC
Catalent,692,3998,Health Care,Somerset,NJ
Snap,683,4117,Technology,Santa Monica,CA
Zoom Video Communications,684,4099.9,Technology,San Jose,CA
Patrick Industries,685,4078.1,Materials,Elkhart,IN
Paychex,686,4056.8,Business Services,Rochester,NY
Atlas Air Worldwide Holdings,687,4030.8,Transportation,Purchase,NY
Conduent,678,4140,Business Services,Florham Park,NJ
